SESSION_ID,politics,Harmed,Unnat,Friend,Duties,Rights,Group,Loyalty,Violence,Desires,Profiting,Decency,Unfair,Interests,Weak,Author,Uplifting,Rank,Emotionally,Traditions,Treated,Betray,Respect,Slap,Heritage,Chastity,Romantic,Revolting,Wellbeing,Compassion,Line,Kill,Grouploy,Govharm,Sexroles,Soldier,Sin,Justice,Wrongdisgust,Fairly,Kidrespect,education,income2,gender,Age,TerrorRev,BrotherRev
420677,-3,,,,,,,,,,,,,,,,,,,,,,,4,2,2,3,4,4,5,3,5,4,6,3,3,2,6,2,5,5,5,1,1,20,3,4
397868,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,-1,33,,
396291,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,-1,38,,
397706,-3,,,,,,,,,,,,,,,,,,,,,,,5,3,2,1,2,2,6,5,3,2,2,4,2,1,6,1,5,4,5,2,1,23,3,2
398401,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,1,40,,
417316,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,1,57,,
422185,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,1,19,,
423151,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,1,31,,
420229,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,1,53,,
398070,-3,,,,,,,,,,,,,,,,,,,,,,,5,1,2,4,2,2,6,4,5,2,5,1,1,1,6,2,5,2,5,3,-1,21,5,4
397149,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,32,,
417503,-3,,,,,,,,,,,,,,,,,,,,,,,6,1,2,2,1,1,4,3,6,4,4,3,3,1,3,1,3,3,5,4,1,36,5,5
416883,-3,,,,,,,,,,,,,,,,,,,,,,,3,4,1,2,1,2,6,3,2,5,6,2,4,1,6,1,6,5,5,4,1,38,6,4
421160,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1,20,,
417560,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1,19,,
418956,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1,21,,
398692,-3,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,1,3,5,4,1,2,2,2,2,1,6,1,6,4,5,5,-1,20,5,5
398325,-3,,,,,,,,,,,,,,,,,,,,,,,5,5,6,5,2,1,6,4,4,2,6,3,4,1,6,3,6,6,5,,1,21,6,4
421663,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,20,,
395681,-3,,,,,,,,,,,,,,,,,,,,,,,5,2,1,2,1,1,4,4,5,1,5,1,4,1,5,1,4,1,5,,1,19,6,6
396674,-3,,,,,,,,,,,,,,,,,,,,,,,6,2,2,2,2,2,4,3,5,1,4,1,2,1,5,1,5,3,5,,1,22,3,1
397282,-3,,,,,,,,,,,,,,,,,,,,,,,4,2,2,1,1,3,5,3,3,3,3,4,2,1,5,1,4,2,5,,-1,20,6,4
395969,-3,,,,,,,,,,,,,,,,,,,,,,,6,2,1,1,2,1,6,2,1,3,6,4,4,2,6,1,6,4,5,,1,21,1,2
418099,-3,,,,,,,,,,,,,,,,,,,,,,,2,6,6,1,3,5,6,6,1,3,6,1,5,6,6,6,6,6,6,1,1,41,6,1
397722,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,1,23,,
399200,-3,,,,,,,,,,,,,,,,,,,,,,,6,5,4,1,5,2,5,5,5,5,6,2,4,5,6,4,6,5,6,,1,31,6,4
418610,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,1,26,,
395486,-3,,,,,,,,,,,,,,,,,,,,,,,3,4,2,3,6,1,6,6,6,5,6,1,1,1,5,5,6,3,7,1,1,34,6,5
418930,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,1,25,,
421428,-3,,,,,,,,,,,,,,,,,,,,,,,1,6,2,3,5,1,4,5,6,3,4,1,4,1,5,6,5,5,7,2,1,26,6,1
418216,-3,,,,,,,,,,,,,,,,,,,,,,,6,2,3,1,2,1,5,5,6,3,6,1,4,1,6,3,5,4,7,2,1,56,6,4
421367,-3,,,,,,,,,,,,,,,,,,,,,,,4,6,5,5,6,2,4,3,1,6,2,5,1,3,6,3,5,6,7,2,-1,26,6,5
