SESHID,politics,harmed1,suffered1,violence1,differently1,rights1,unfairly1,betray1,friend1,loyalty1,rank1,duties1,respect1,disgust1,purity1,unnatural1,income2,education,gender,Age
212633,-2,6,5,5,6,6,6,3,6,4,2,5,5,3,5,5,4,4,1,19
212667,-2,6,5,6,5,5,5,3,4,4,4,6,5,4,4,5,1,5,1,34
213237,-2,6,6,6,6,6,5,5,4,5,4,5,4,4,5,6,3,9,-1,54
213676,-2,6,6,6,6,6,6,5,4,4,5,5,4,4,5,5,1,8,1,24
213665,-2,5,4,3,5,6,5,4,4,4,1,4,3,3,3,4,2,7,1,22
213731,-2,5,5,4,5,3,4,2,3,3,2,2,3,2,2,3,2,5,-1,21
213778,-2,6,6,6,6,4,4,6,6,6,4,6,6,6,1,6,,5,1,19
213786,-2,6,6,6,5,5,6,3,3,5,2,4,3,2,5,5,5,7,1,23
214256,-2,6,3,6,6,6,3,4,5,5,3,5,5,5,3,6,1,9,-1,26
215118,-2,4,6,6,6,6,6,4,4,4,3,4,5,4,4,5,1,5,1,20
210468,-1,6,6,6,6,6,6,4,3,4,1,3,6,4,6,6,2,,1,27
209243,-1,1,3,6,4,6,5,2,1,2,1,6,3,4,2,6,4,5,-1,19
210274,-1,5,3,4,4,5,5,4,6,3,4,3,3,4,3,4,,5,-1,20
211303,-1,6,5,6,6,5,5,6,5,4,6,6,6,4,5,4,1,4,1,18
211470,-1,5,5,6,5,5,6,6,2,5,4,3,6,2,2,4,5,7,1,40
212256,-1,6,6,5,6,6,6,2,5,6,6,4,2,2,3,6,3,5,1,41
212656,-1,5,5,5,4,5,5,3,5,3,3,3,3,3,4,4,2,5,-1,20
212831,-1,6,6,5,5,5,4,2,4,3,1,4,2,3,2,6,4,7,-1,34
214513,-1,6,5,1,3,6,6,6,6,5,5,5,4,4,4,4,2,5,1,19
214948,-1,5,3,5,4,5,5,5,4,6,4,3,3,2,4,3,3,5,-1,23
209379,0,6,6,6,6,6,4,4,6,5,4,4,4,2,5,6,,5,1,26
210052,0,5,5,2,5,6,6,5,6,6,6,6,6,2,2,5,1,5,-1,25
210338,0,5,5,6,6,6,4,5,5,4,4,4,5,5,4,4,,6,-1,44
211725,0,6,3,5,4,5,4,4,5,6,2,6,4,1,5,5,1,5,1,29
212226,0,3,6,5,5,5,5,5,4,4,3,5,3,3,4,2,3,5,1,33
212281,0,6,4,4,4,5,3,4,6,3,4,2,2,5,5,3,5,4,-1,20
212332,0,6,5,6,6,6,5,5,5,5,1,6,4,2,3,3,,2,-1,13
212338,0,2,2,5,2,6,5,5,2,4,1,3,2,2,4,2,4,5,1,33
212467,0,6,5,6,6,6,4,4,4,3,5,4,3,4,4,4,2,6,1,36
212586,0,6,5,5,6,6,5,5,2,3,2,6,3,3,3,3,3,5,1,67
212653,0,4,4,5,3,5,4,4,4,4,2,4,4,3,3,5,2,7,-1,28
212906,0,6,6,6,6,6,6,6,4,5,3,4,3,3,3,3,2,5,1,23
213288,0,2,5,4,5,5,4,4,4,6,4,4,3,4,3,4,1,4,-1,38
213986,0,5,5,5,5,5,4,3,3,3,3,5,4,3,4,2,4,12,-1,64
214079,0,6,6,6,6,6,6,1,3,3,1,3,3,3,3,6,3,5,-1,49
214235,0,6,3,5,2,5,2,2,4,2,2,3,1,2,2,2,1,5,-1,30
214782,0,5,4,5,,5,3,4,5,4,4,4,4,4,4,5,5,5,1,19
214925,0,5,4,5,2,6,3,3,6,3,2,5,5,2,4,5,,5,-1,19
209335,1,6,6,6,6,6,6,4,4,6,4,6,6,6,6,6,4,6,-1,58
211934,1,6,5,6,5,5,6,5,2,4,2,5,6,5,6,6,2,7,1,32
212493,1,5,4,4,4,6,4,4,5,5,4,6,5,5,4,5,4,10,-1,36
214590,1,4,4,4,5,6,5,4,4,4,3,4,3,4,4,3,5,9,1,48
214725,1,5,5,4,4,5,4,3,4,2,3,3,4,3,3,4,4,5,-1,20
212800,2,6,4,6,6,6,6,6,2,4,3,6,6,4,6,6,3,5,-1,45
210382,2,6,6,6,5,6,6,4,5,4,3,4,3,3,6,5,2,5,1,23
214763,2,5,4,5,4,5,3,2,4,4,2,6,3,4,4,5,3,6,1,70
214921,2,6,2,4,4,6,3,4,3,3,2,5,3,3,2,3,2,7,-1,22
213739,3,4,4,4,5,5,5,3,4,4,1,5,5,2,5,6,1,7,1,22
213756,3,6,4,6,6,4,6,6,1,6,1,6,6,4,6,6,4,5,-1,50
210555,,4,4,4,3,6,3,2,5,4,1,4,2,2,1,4,1,5,1,24
210563,,6,5,6,4,6,5,5,4,4,2,6,5,3,5,6,,5,-1,23
211748,,4,6,5,5,3,4,5,6,5,1,2,5,3,1,4,,4,1,19
212797,,5,1,2,2,3,2,2,5,4,1,6,1,1,2,5,,,1,22
213536,,5,5,6,5,5,4,3,4,5,3,4,3,3,4,5,,5,1,20
213726,,5,5,5,5,5,5,4,5,3,2,3,3,2,2,5,4,3,1,17
213891,,6,3,5,4,5,4,3,4,3,4,2,2,2,1,3,,8,-1,29
214751,,6,5,5,6,6,5,3,2,4,2,5,5,2,2,5,3,5,1,36
209753,-3,6,6,6,6,6,5,3,4,4,2,4,3,4,5,4,,3,-1,16
210107,-3,4,4,6,6,6,6,6,6,4,2,6,5,3,4,3,,5,1,23
214180,-3,6,6,6,6,6,6,5,1,5,1,6,1,4,2,5,4,10,1,46
209158,-3,6,6,4,6,6,6,4,1,3,5,4,4,4,4,4,4,12,1,43
209310,-3,6,4,6,4,6,6,6,4,6,6,5,2,3,3,5,1,9,1,25
209315,-3,4,3,5,6,6,6,5,4,5,2,6,5,4,3,3,,7,1,21
