V101,gender,educ,race,pid7,pid3,ideo5,emote,treatd,lovec,auth,purity,math,weak,unfair,betray,conform,disgust,cruel,rights,loyal,chaos,goddis,compat,treatf,proudc,authc,nodisgust,dogood,hurt,justice,loyalf,roles,notnat,kill,rich,team,obey,chaste,religattend,income,age,state,zip,county,inputstate
162815834,2,3,1,1,1,2,,4,4,,4,1,,4,4,,,5,,4,,,,5,,4,,1,,6,5,,,,3,3,5,,5,8,49,KY,41102,Boyd KY,21
162823519,1,3,6,7,2,4,,6,5,5,2,3,4,,,,,5,,,6,,,,,,,6,6,,3,5,6,2,,,5,3,5,,63,FL,34432,Marion FL,12
162823562,1,3,2,1,1,2,4,,,,4,,,4,4,5,5,5,,5,,,,,2,,6,6,,6,,2,,,6,6,,6,5,7,63,RI,2906,Providence RI,44
162831769,2,3,1,7,2,4,4,3,3,4,3,1,5,5,6,1,4,5,4,2,5,6,6,2,5,5,5,6,6,5,6,6,6,6,1,2,1,1,2,8,57,KS,66007,Leavenworth KS,20
162831870,2,6,1,5,3,4,1,,,2,5,2,,,,,,,,,,,,5,5,,2,6,,4,4,,,,,1,,4,3,,61,WY,82072,Albany WY,56
162831885,1,3,1,7,2,5,6,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,5,6,6,6,6,6,5,1,4,1,4,4,1,6,3,,27,PA,18042,Northampton PA,42
162836063,1,3,3,,3,2,1,2,2,2,1,,,,1,,,,,,2,1,,,,,,1,,,2,1,1,6,6,,5,5,5,5,44,KY,42262,Christian KY,21
162836576,1,2,2,1,1,1,3,,,4,,,3,,3,,,,4,,5,5,4,,4,,4,,3,,,5,4,,5,5,,,4,4,22,GA,30016,Newton GA,13
162840038,1,3,2,1,1,4,6,5,,4,6,,6,,4,3,,,,,5,,,5,,,,,,4,,6,5,5,4,6,6,,4,3,31,SC,29405,Charleston SC,45
162847287,1,4,1,7,2,4,,,,,5,,,5,3,3,4,6,4,,,5,,6,6,6,5,,,,,6,,,1,,6,6,2,6,56,OR,97396,Yamhill OR,41
162849155,1,2,1,1,1,2,,2,4,1,,,4,3,,,2,,,,5,6,,,6,,5,,5,,,6,6,2,,,5,6,2,1,70,MN,56303,Stearns MN,27
162853422,2,2,1,1,1,2,,4,5,,,5,,,,4,,6,,6,6,6,,6,5,6,6,,6,,,,,5,,,6,6,2,3,76,MO,63376,St. Charles MO,29
162856972,2,3,1,6,2,3,,5,,3,5,4,,5,5,2,,,5,,,,6,,6,,6,,,5,,6,,,,3,6,5,4,1,48,NC,27604,Wake NC,37
162858262,2,6,1,1,1,2,,,,,,,5,3,6,2,,6,4,,3,1,4,,,2,,,5,5,6,,1,2,,,,1,6,12,64,TX,78666,Hays TX,48
162858559,2,2,1,2,1,2,,,,,6,,4,5,,3,5,,6,,5,3,6,6,6,6,6,6,,,,,,3,,1,,,6,5,30,VA,23462,Virginia Beach city VA,51
162860681,1,3,1,5,3,5,,,,4,,3,4,5,2,,,2,,,4,5,,,6,5,4,,,5,,6,,1,1,,6,,2,5,61,TN,37082,Cheatham TN,47
162866744,2,5,1,6,2,4,,,6,,,,6,,,6,6,,6,5,5,6,,,6,,6,6,,6,2,,3,6,,,6,,5,10,69,ME,3908,York ME,23
162867158,1,6,1,,,,4,4,1,2,3,1,3,5,4,3,5,6,5,3,4,3,4,4,3,3,4,5,5,5,6,4,3,3,4,2,4,2,3,,78,IL,62037,Jersey IL,17
162871441,1,2,1,3,3,3,6,6,,,,,6,,6,5,,,,6,6,6,6,,5,6,,6,,,6,3,5,,,,,4,2,8,62,CT,6514,New Haven CT,9
162877731,2,2,1,,,,,,5,,,,6,,6,5,3,5,,,5,4,5,,5,,,6,,5,5,,5,,,4,5,,5,5,44,KS,66605,Shawnee KS,20
162879656,2,5,1,1,1,2,,6,,4,4,2,,,,,4,,6,,5,4,,,3,,5,,,5,,,5,3,3,2,3,,2,10,38,IN,46835,Allen IN,18
162890604,2,5,1,7,2,4,5,6,6,5,6,1,5,6,6,5,6,6,6,6,4,6,5,6,6,6,1,6,1,6,5,6,6,6,1,1,6,6,1,7,58,KS,66206,Johnson KS,20
162909363,2,2,1,4,,,4,4,4,,4,3,3,,,,3,,,,3,,5,5,,,,5,,,,4,,6,5,6,4,,5,4,58,WI,54220,Manitowoc WI,55
162934454,2,2,1,5,3,4,4,,,4,5,4,,4,5,,4,,4,,,,4,,,,5,5,4,5,,5,6,,,3,,,4,4,67,AL,36360,Dale AL,1
162940696,2,5,2,2,1,3,3,3,,3,3,,,3,,,3,,,3,3,,5,5,1,,5,6,,,4,,4,4,,,,,5,9,48,MI,48322,Oakland MI,26
162942592,1,5,1,5,3,5,,3,,6,,1,5,,,,,,,,,,,4,5,,5,5,4,,,,,6,,4,5,,2,,66,KS,66223,Johnson KS,20
162951535,2,5,1,7,2,4,1,1,,,5,,1,,,1,1,1,1,,,,4,,,,4,6,4,,,6,6,,,4,,6,1,10,42,OK,73055,Stephens OK,40
162957230,1,2,1,4,3,4,,,5,6,5,,,,5,5,,5,,5,,6,,,,6,6,6,5,,6,,,,4,3,,6,2,6,68,NY,13476,Oneida NY,36
162965965,1,5,1,5,3,5,,,2,,5,,4,4,,,,,,,,,,,,6,6,6,,,5,6,6,3,,,,6,1,3,65,NY,13021,Cayuga NY,36
162986532,1,5,1,7,2,5,,3,,,5,,,5,2,2,2,,,2,,5,6,3,6,6,3,,6,,,6,,,,,5,,,4,55,CO,80210,Denver CO,8
162986641,2,5,1,2,1,2,,,,,,3,,,3,3,3,,4,4,2,4,6,,,,6,5,6,,6,,,6,4,,,4,6,14,41,CA,91304,Los Angeles CA,6
162989321,1,6,1,1,1,1,4,5,,4,6,3,5,,,,5,,,,6,,,,,,6,,5,,3,5,4,,4,,3,1,5,4,63,CT,6066,Tolland CT,9
162991906,1,3,1,7,2,5,,6,,,,2,6,,6,5,,5,,,5,4,5,,,6,,6,6,5,,6,3,,,,,3,4,,71,WA,98840,Okanogan WA,53
162996500,2,2,1,5,3,3,1,4,6,4,6,1,1,3,5,5,5,5,5,5,3,6,4,5,6,6,4,6,5,6,5,2,5,3,1,3,6,6,5,2,73,TN,37015,Cheatham TN,47
162999013,1,2,1,2,1,3,,,2,,2,1,,,5,,,,,,,,,6,,6,,6,,,,6,6,2,,5,6,,4,5,64,KY,40830,Harlan KY,21
163000490,1,2,1,5,3,4,,,5,5,,,5,5,,,,,6,4,4,4,,,6,,,,4,5,,5,6,1,1,,,4,4,10,64,NJ,8865,Warren NJ,34
163003227,2,2,3,1,1,1,5,6,4,5,,,3,,3,,,,5,,,3,,,,6,3,6,6,5,1,,,2,1,,,,5,7,25,TX,76039,Tarrant TX,48
163008321,1,4,1,5,3,4,,,,,,,,4,3,4,4,2,5,,5,5,2,,6,6,6,,5,,,6,,,1,,2,,5,7,66,TX,76049,Hood TX,48
163010226,1,2,1,6,2,4,,,5,5,,2,5,,,3,1,2,,5,,,5,6,6,,,,6,5,,5,,3,,5,,,2,7,64,AL,36330,Coffee AL,1
163011708,2,5,2,2,1,1,,6,,1,,1,4,,,1,,5,5,,,1,,,,6,,6,6,,,,3,6,4,1,5,,2,3,21,LA,70816,East Baton Rouge Parish LA,22
163011781,1,3,1,5,3,4,5,,5,6,6,,,,,2,,6,,6,5,,,1,,6,6,6,,6,5,,,1,1,,,,5,3,78,OR,97401,Lane OR,41
163017349,2,6,1,6,2,4,,,,4,,1,4,,,,4,,6,4,5,1,4,5,,6,5,6,6,,,3,,,,,3,,3,6,40,AK,99501,Anchorage Borough AK,2
163024372,2,3,1,3,3,1,,,5,,,2,,4,4,,2,,4,2,,4,,,5,,,,6,6,5,,3,2,,,6,5,2,3,70,CA,95076,Santa Cruz CA,6
163024445,2,2,1,1,1,2,5,5,,,6,3,,,4,,,,,4,5,2,,,6,6,4,6,,5,3,,,5,,,,2,5,6,60,DE,19956,Sussex DE,10
163028590,1,5,1,1,1,3,,,,,6,1,6,6,,4,,6,6,,,5,6,,,,5,,,,4,5,5,4,,,4,4,1,6,72,KY,40207,Jefferson KY,21
163029951,1,2,1,,3,4,1,,6,4,,1,,5,,2,,5,,5,,,4,6,,,,,,6,,5,,5,1,,6,6,5,2,77,TX,76087,Parker TX,48
163030271,2,3,1,5,3,5,4,5,5,5,,,,,,,3,,5,,5,6,,6,,,5,,5,6,,5,,,1,1,,6,1,2,65,NC,27455,Guilford NC,37
163032360,2,6,2,1,1,3,,4,3,,,3,,5,3,,,5,3,4,,,4,,,,4,5,,,4,4,4,,4,3,,,6,5,39,DE,19709,New Castle DE,10
163036049,2,2,1,6,2,3,,,,4,4,,4,5,5,,4,6,,,5,,,,5,,4,6,,5,5,,,,4,4,,4,2,9,18,PA,17522,Lancaster PA,42
163038917,2,4,2,1,1,3,4,,5,2,4,,,,5,4,,,6,,5,,,,6,6,,6,6,,5,6,,,,6,5,,1,4,51,TX,75224,Dallas TX,48
163042629,2,3,1,4,3,4,,5,,5,,5,5,,,4,,5,,5,5,,6,,,5,5,,5,6,6,2,,,,,,5,2,6,60,AZ,85208,Maricopa AZ,4
163043951,1,3,1,7,2,3,4,,1,,,,3,4,2,,,,,3,3,1,,,1,,,,3,,4,2,1,3,3,,3,,1,5,19,GA,30076,Fulton GA,13
163043953,1,6,3,1,1,3,,,,6,,3,4,,,,,6,6,6,6,6,6,,,6,6,6,6,,6,,6,,,,1,,4,10,65,CA,95831,Sacramento CA,6
163044332,2,5,3,1,1,1,,4,,4,,,,4,,3,4,3,5,3,,,4,4,,,,,4,,2,3,,,,3,3,4,5,3,24,CA,93536,Los Angeles CA,6
163048339,1,2,1,4,3,3,,,,5,5,1,,,5,,,5,,5,5,4,,,,6,4,6,5,,,,5,5,,5,6,,6,7,49,NC,28704,Buncombe NC,37
163053488,1,4,1,5,3,4,5,6,6,6,6,5,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,5,6,4,3,6,1,1,2,3,4,4,6,57,OR,97415,Curry OR,41
163055287,1,3,1,1,1,2,4,,3,3,,,5,6,,1,,6,,4,,,,6,3,5,,,,6,,1,1,,,1,,1,6,5,61,MI,48187,Wayne MI,26
163057103,1,3,1,3,3,2,4,4,3,,4,,5,5,,3,,6,,,,,6,6,,5,3,,,,,,2,,,,2,3,5,5,37,MD,20886,Montgomery MD,24
163059225,2,5,1,2,1,2,,,3,,4,,3,4,3,3,,2,4,,,,,,5,6,5,6,,,5,3,,,,1,,1,5,7,43,SC,29801,Aiken SC,45
163062706,2,2,3,1,1,2,3,3,,,,,,3,,3,3,,3,,3,3,,,6,,,,6,6,3,,3,,,3,3,3,4,8,52,MI,48195,Wayne MI,26
163067496,1,4,1,6,2,5,4,3,,6,,2,5,,6,,,6,,,,1,6,4,4,,5,6,,6,,,4,,,,6,,6,5,47,FL,32904,Brevard FL,12
163068353,2,3,3,1,1,1,5,5,,,,,,,2,3,2,,6,,5,1,,6,,4,,,,6,,1,1,,3,,3,1,5,2,21,GA,30322,DeKalb GA,13
163068368,2,2,3,1,1,3,,,,,,1,,5,5,5,5,6,,4,6,,,,5,5,5,,,,2,,3,4,5,,6,,6,,61,FL,33141,Miami-Dade FL,12
163073948,1,5,1,6,2,4,3,3,3,3,3,3,,,,3,,3,,,,,,,3,3,,,,2,2,3,3,3,,,3,,6,1,58,NY,12180,Rensselaer NY,36
163074104,1,4,1,5,,5,1,,,6,6,,,,,6,6,6,,,5,6,3,1,,,,6,4,6,,,6,1,,,6,,3,6,54,ME,3901,York ME,23
163075554,2,4,1,3,3,5,5,5,,,,3,6,,5,,5,5,,,5,,6,6,,6,5,6,5,,,,,,,6,,6,1,3,34,MD,21562,Allegany MD,24
163077884,2,5,2,5,3,5,5,,,6,,,6,5,5,6,,6,6,,,,,,3,,,6,6,,5,6,6,1,,1,,,2,8,62,OK,73117,Oklahoma OK,40
163083153,1,4,1,2,1,3,5,,4,,5,1,5,,,5,,,5,,5,,6,6,,,5,6,6,,,,6,,,,5,5,3,2,64,WA,98106,King WA,53
163085895,1,4,1,2,1,3,,5,4,6,4,,,4,,3,4,5,,,,,6,,6,6,5,,6,5,,5,,,1,,,,6,11,56,WA,98271,Snohomish WA,53
163087130,2,2,1,1,1,3,,,1,2,,2,,,2,,,,,,,,6,,,,,,6,5,,1,3,,3,,3,5,2,,64,IL,60714,Cook IL,17
163088702,2,2,1,,,2,,5,,5,,1,,,5,,,6,6,4,6,,6,,,,,6,,,3,4,,1,6,1,1,,5,3,29,OH,44706,Stark OH,39
163095526,2,5,1,7,2,3,,,5,4,,1,5,6,,,5,6,,,,5,6,,6,6,,,6,,,,4,2,1,,,6,1,9,59,CA,93534,Los Angeles CA,6
163107859,2,4,1,3,,,,,,5,,2,,5,,4,4,5,,3,5,,,,,,5,,5,5,5,5,,,,3,4,4,3,2,48,IL,61275,Rock Island IL,17
