id,cards,ballots,racepledge,talkradio,familyshun,flagburn,parentcurse,handgesture,rottentomato,soulsell,molesterblood,stageanimal,icebath,idiotsign,headache,dogkick,overweight,palm,ideo7,age,education,gender,state,income,religion
1000,8.0,7.0,7.0,7.0,5.0,7.0,8.0,5.0,2.0,8.0,8.0,8.0,6.0,6.0,6.0,8.0,8.0,7.0,4.0,50,12,1,21,12,5.0
1001,8.0,8.0,8.0,4.0,8.0,4.0,8.0,1.0,1.0,8.0,4.0,5.0,4.0,4.0,8.0,8.0,8.0,8.0,3.0,21,6,2,73,12,1.0
1002,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,33,12,2,93,18,3.0
1003,5.0,8.0,8.0,1.0,4.0,1.0,8.0,5.0,2.0,8.0,1.0,8.0,5.0,1.0,8.0,8.0,5.0,8.0,3.0,63,13,1,93,18,5.0
1004,6.0,6.0,8.0,8.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,7.0,6.0,7.0,5.0,8.0,2.0,50,12,1,93,19,
1005,1.0,1.0,1.0,5.0,1.0,5.0,8.0,1.0,1.0,4.0,5.0,6.0,5.0,5.0,8.0,8.0,1.0,1.0,1.0,56,6,1,59,10,3.0
1007,8.0,8.0,8.0,8.0,1.0,8.0,1.0,1.0,8.0,8.0,1.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,2.0,57,12,2,34,16,5.0
1008,5.0,8.0,8.0,8.0,6.0,,6.0,8.0,5.0,8.0,7.0,6.0,5.0,4.0,8.0,8.0,8.0,8.0,4.0,37,9,2,74,16,3.0
1009,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,8.0,1.0,8.0,5.0,8.0,7.0,8.0,8.0,8.0,4.0,22,9,2,43,6,1.0
1010,,,,,,,,,,,,,,,,,,,3.0,48,6,2,93,11,3.0
1011,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,6.0,68,11,1,93,17,3.0
1012,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,2.0,36,8,1,33,16,5.0
1013,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,8.0,8.0,8.0,8.0,5.0,85,4,1,95,8,3.0
1014,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,3.0,69,13,1,54,13,4.0
1015,5.0,4.0,4.0,8.0,8.0,8.0,8.0,8.0,1.0,4.0,8.0,8.0,8.0,1.0,6.0,8.0,4.0,4.0,6.0,56,8,2,62,10,2.0
1016,6.0,6.0,6.0,6.0,8.0,8.0,8.0,6.0,6.0,5.0,8.0,7.0,6.0,5.0,6.0,6.0,7.0,6.0,6.0,19,10,2,43,18,1.0
1017,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,5.0,8.0,4.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,4.0,62,9,2,88,15,5.0
1018,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,4.0,62,9,2,61,17,1.0
1019,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,8.0,5.0,6.0,8.0,8.0,8.0,8.0,4.0,55,13,2,23,19,2.0
1020,7.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,6.0,8.0,8.0,8.0,7.0,5.0,7.0,8.0,8.0,7.0,5.0,58,9,2,56,12,1.0
1021,8.0,8.0,8.0,1.0,1.0,8.0,8.0,8.0,8.0,8.0,1.0,8.0,1.0,8.0,1.0,8.0,8.0,8.0,6.0,49,9,2,74,6,1.0
1022,8.0,8.0,8.0,7.0,8.0,8.0,8.0,6.0,3.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,4.0,30,12,2,23,12,3.0
1023,3.0,3.0,3.0,2.0,7.0,8.0,6.0,4.0,1.0,8.0,5.0,6.0,8.0,7.0,6.0,4.0,3.0,3.0,2.0,28,12,1,13,7,5.0
1024,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,74,11,2,73,16,2.0
1025,5.0,7.0,7.0,6.0,7.0,6.0,8.0,6.0,1.0,8.0,8.0,6.0,8.0,6.0,8.0,7.0,7.0,7.0,4.0,65,9,1,43,10,3.0
1026,2.0,8.0,3.0,6.0,3.0,8.0,1.0,3.0,7.0,6.0,6.0,3.0,5.0,5.0,1.0,5.0,8.0,3.0,6.0,22,7,1,41,10,3.0
1027,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,8.0,5.0,8.0,8.0,8.0,4.0,37,8,1,55,4,3.0
1028,4.0,8.0,7.0,8.0,8.0,8.0,5.0,3.0,3.0,7.0,1.0,5.0,4.0,4.0,5.0,8.0,3.0,7.0,6.0,43,9,1,31,15,3.0
1029,4.0,7.0,8.0,8.0,8.0,8.0,6.0,5.0,3.0,8.0,7.0,4.0,4.0,5.0,6.0,8.0,8.0,8.0,6.0,27,14,1,22,14,3.0
1030,7.0,8.0,8.0,8.0,8.0,7.0,8.0,5.0,5.0,8.0,7.0,8.0,7.0,6.0,7.0,7.0,7.0,8.0,6.0,68,9,2,32,13,2.0
1031,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,4.0,30,10,1,59,12,2.0
1032,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,35,11,2,55,12,5.0
1033,8.0,8.0,8.0,8.0,8.0,1.0,8.0,5.0,1.0,8.0,1.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,6.0,71,13,2,59,13,1.0
1034,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,55,11,1,61,7,2.0
1035,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,46,10,2,58,3,3.0
1036,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,2.0,52,12,2,93,13,5.0
1037,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,68,9,2,64,19,1.0
1038,4.0,8.0,8.0,8.0,8.0,8.0,4.0,3.0,1.0,8.0,6.0,4.0,6.0,6.0,4.0,8.0,8.0,8.0,3.0,20,10,2,21,16,3.0
1039,7.0,8.0,7.0,6.0,7.0,7.0,8.0,7.0,6.0,5.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,7.0,5.0,69,13,1,93,17,2.0
1041,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,6.0,8.0,1.0,8.0,6.0,6.0,8.0,8.0,8.0,8.0,6.0,65,12,2,34,15,2.0
1042,6.0,7.0,7.0,4.0,5.0,8.0,3.0,3.0,6.0,4.0,8.0,7.0,5.0,6.0,5.0,8.0,5.0,7.0,4.0,32,9,1,34,9,5.0
1043,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,4.0,46,10,2,46,11,2.0
1045,7.0,4.0,7.0,4.0,8.0,4.0,8.0,5.0,7.0,8.0,3.0,6.0,3.0,,8.0,8.0,7.0,7.0,3.0,58,12,2,55,8,1.0
1046,,,,,8.0,,8.0,,8.0,,,,,,,8.0,,,5.0,72,9,2,23,6,2.0
1047,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,5.0,55,12,1,21,17,4.0
1048,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,59,13,1,63,15,1.0
1049,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,8.0,8.0,7.0,6.0,7.0,6.0,6.0,4.0,1.0,1.0,33,10,1,62,10,3.0
1050,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,2.0,45,9,2,52,14,3.0
1051,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,23,9,1,58,6,2.0
1052,8.0,2.0,1.0,8.0,8.0,8.0,1.0,8.0,1.0,2.0,1.0,3.0,8.0,8.0,1.0,1.0,8.0,1.0,2.0,64,10,2,43,13,5.0
1053,3.0,8.0,8.0,8.0,5.0,8.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,5.0,8.0,4.0,8.0,3.0,26,12,2,59,11,
1054,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,5.0,76,9,1,32,11,1.0
1055,3.0,8.0,7.0,6.0,6.0,8.0,1.0,4.0,4.0,6.0,8.0,5.0,3.0,5.0,6.0,8.0,4.0,7.0,3.0,18,10,2,33,17,5.0
1056,2.0,2.0,7.0,6.0,5.0,8.0,4.0,1.0,1.0,7.0,6.0,7.0,3.0,4.0,5.0,8.0,2.0,7.0,2.0,32,10,1,35,16,2.0
1057,5.0,8.0,8.0,6.0,8.0,8.0,6.0,4.0,6.0,7.0,5.0,8.0,6.0,4.0,5.0,8.0,5.0,8.0,3.0,36,11,1,22,10,4.0
1058,5.0,7.0,7.0,4.0,7.0,4.0,6.0,7.0,1.0,3.0,7.0,6.0,4.0,5.0,6.0,8.0,4.0,7.0,6.0,46,13,1,88,15,5.0
1059,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,8.0,3.0,6.0,5.0,8.0,8.0,8.0,5.0,44,12,2,59,15,3.0
1060,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,4.0,18,5,1,63,9,
1061,4.0,7.0,8.0,3.0,8.0,6.0,4.0,4.0,3.0,7.0,1.0,4.0,4.0,5.0,4.0,8.0,7.0,8.0,2.0,27,12,2,22,16,3.0
1062,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,8.0,7.0,6.0,8.0,8.0,8.0,8.0,4.0,62,9,2,62,17,2.0
1063,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,73,9,1,59,8,1.0
