WUSTLID,emote,treatd,lovec,auth,purity,attchecka,weak,unfair,betray,conform,disgust,compat,treatf,proudc,authc,nodisgust,attcheckb,hurt,justice,loyalf,roles,notnat,demfeel,repfeel,libfeel,consfeel,pid3,ideo7
990709,2,2,1,2,2,1,2,1,1,3,2,1,2,5,4,4,6,6,6,5,4,5,10,0,0,10,1,7
990711,4,4,5,5,5,5,5,5,5,4,5,6,6,6,6,6,6,5,6,6,5,5,9,2,8,5,1,4
990716,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990720,2,1,5,5,5,1,5,5,5,5,5,5,6,5,6,6,6,6,6,6,2,3,5,5,2,5,NA,5
990733,4,5,3,3,4,3,4,4,4,3,5,6,6,5,6,5,6,6,6,1,4,4,7,2,5,0,1,2
990737,4,5,4,2,1,1,3,5,2,2,2,5,5,4,5,2,6,6,5,4,1,1,6,2,6,4,1,3
990738,5,5,5,5,5,2,5,5,5,3,5,6,6,6,6,6,6,6,5,5,1,6,3,4,5,3,3,4
990740,5,5,2,2,4,1,5,5,3,2,5,5,6,4,5,4,6,6,5,2,1,1,10,0,10,0,3,1
990758,3,3,1,3,2,1,3,2,2,1,1,6,4,5,4,2,6,4,4,4,2,4,7,4,10,6,3,1
990767,5,3,4,5,5,3,5,3,5,4,5,4,6,NA,NA,NA,6,3,6,5,2,5,5,1,4,5,3,6
990770,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990773,4,4,4,4,4,1,5,5,3,4,5,5,6,5,5,3,6,5,5,3,5,5,9,3,10,0,1,2
990779,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990783,2,5,5,5,5,5,5,5,5,1,5,6,6,2,6,6,6,6,6,1,5,3,8,0,9,0,1,1
990784,4,4,4,4,4,1,3,4,2,4,4,4,5,4,5,5,5,3,5,5,3,3,6,4,7,7,1,2
990787,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990788,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990797,3,5,1,4,2,4,5,5,5,2,1,5,6,2,4,4,6,6,6,5,4,4,6,0,6,5,3,4
990800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990801,5,5,5,5,5,5,5,5,5,5,5,6,6,5,6,6,6,6,5,6,6,6,6,2,5,5,3,NA
990802,2,3,2,4,4,2,3,4,2,2,5,4,6,4,6,6,6,5,5,4,3,3,6,5,6,6,3,4
990803,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990966,3,4,3,4,4,2,2,4,4,3,3,4,5,6,6,4,6,3,5,5,5,3,0,10,1,8,2,6
990967,2,1,4,4,5,3,3,5,4,4,5,2,1,5,5,6,6,6,4,2,4,5,2,7,1,9,NA,6
990968,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990970,5,5,2,4,4,2,5,5,5,5,3,3,4,3,2,5,5,4,3,3,4,2,7,5,5,5,3,3
990971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990974,3,5,5,5,4,5,5,5,5,4,5,5,6,6,6,6,6,6,6,6,6,6,9,6,8,9,1,6
990976,1,2,3,1,2,3,1,2,3,1,2,1,2,1,2,3,1,2,3,1,2,3,4,6,3,6,1,3
990978,5,5,5,5,5,1,4,5,5,2,2,6,6,6,6,6,6,5,6,6,6,6,5,5,5,7,2,4
990979,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990981,3,3,3,3,4,4,3,5,2,2,2,5,4,6,6,4,6,6,5,5,2,4,6,8,6,9,2,5
990982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990983,1,5,2,4,4,5,5,5,5,2,5,6,6,NA,4,4,6,6,6,5,5,6,7,0,7,0,1,3
990984,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,6,6,6,5,5,5,7,8,7,7,1,NA
990986,4,5,5,5,5,1,5,5,5,2,5,NA,NA,6,6,6,6,6,6,1,6,6,10,5,5,5,1,2
990987,5,5,5,5,5,3,5,5,4,4,5,5,6,5,6,6,6,6,6,4,5,6,8,0,5,5,3,4
990988,4,5,4,5,5,4,5,5,5,5,5,5,6,5,6,6,6,5,6,3,5,4,10,0,2,3,1,6
990989,5,5,4,4,4,1,5,5,5,3,3,6,4,3,4,4,NA,NA,NA,4,3,2,10,3,10,3,3,3
990990,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990991,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990992,3,2,2,2,4,1,4,3,5,3,4,5,6,2,2,4,6,6,6,6,5,3,6,6,5,7,1,5
990993,4,5,3,2,4,2,4,5,4,4,4,5,5,3,4,4,6,6,6,4,3,3,4,3,6,1,1,3
990994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990995,2,2,2,2,2,2,2,2,2,2,2,5,5,4,6,6,6,6,5,5,5,5,8,5,8,8,1,3
990996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990997,4,4,4,4,4,3,5,5,5,4,4,4,6,5,6,5,6,5,6,3,5,5,8,1,7,2,1,3
990998,5,5,5,5,5,1,1,5,5,1,2,5,6,5,6,3,6,3,5,6,6,4,5,10,5,10,2,6
990999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991000,5,5,5,4,5,2,5,5,5,4,5,1,1,6,6,6,6,6,6,5,5,6,6,4,5,5,1,4
991001,3,5,2,4,4,2,4,5,5,3,3,2,2,6,6,5,6,5,5,3,3,3,5,6,5,6,3,5
991002,2,1,3,3,3,1,4,4,4,4,3,2,2,6,5,4,6,3,5,4,5,4,3,6,3,7,3,6
991003,1,NA,1,5,5,1,5,5,3,1,5,6,6,5,6,3,6,6,5,3,6,1,9,2,9,1,1,2
991004,3,3,3,3,4,3,3,3,3,3,4,3,3,6,5,5,6,4,3,1,2,5,2,5,0,6,NA,6
991006,3,3,3,4,4,2,2,3,4,2,4,5,6,5,6,6,6,5,5,4,4,6,0,0,1,0,3,4
991007,4,5,4,2,5,2,4,5,3,2,4,5,6,5,6,5,6,6,5,5,6,4,6,6,7,7,3,3
991008,3,5,1,4,5,2,5,5,5,3,5,5,5,6,6,6,6,6,5,5,5,4,10,0,10,0,1,2
991009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991010,2,2,2,4,4,1,4,4,4,4,2,3,2,6,6,5,6,1,6,5,6,5,3,7,1,8,2,4
991011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991014,2,3,2,3,2,1,2,2,2,2,3,5,4,5,4,3,5,4,6,3,1,1,9,5,8,6,1,4
991015,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,2,9,7,7,2,6
991016,4,3,4,5,4,3,4,3,5,3,4,4,4,4,4,5,5,5,5,4,3,3,5,5,5,5,3,NA
991017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991021,5,5,4,3,4,2,4,5,4,3,5,5,5,5,5,5,6,6,5,4,2,4,7,5,7,5,1,2
991022,1,1,4,4,4,1,1,1,1,3,1,5,6,6,6,4,6,4,6,5,6,4,3,3,0,5,2,5
991023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991024,5,4,5,5,5,1,5,5,2,3,4,5,5,6,6,4,6,5,6,5,3,5,5,5,2,7,1,5
991025,4,5,5,5,5,1,5,5,5,4,5,5,6,1,1,1,6,6,5,6,5,5,8,9,5,5,1,4
991027,5,5,5,5,5,1,5,5,5,5,5,6,6,1,6,6,6,6,6,6,6,6,7,0,5,5,1,6
991028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991029,4,4,4,4,4,2,4,5,4,4,5,6,6,4,4,6,6,6,6,6,5,3,5,5,5,5,2,4
991030,2,5,1,2,4,1,5,5,4,3,2,6,3,4,3,1,6,5,3,3,1,1,7,2,8,2,1,3
991031,4,1,4,4,5,4,5,5,5,4,4,5,6,5,4,6,6,6,6,3,3,5,0,10,0,10,3,4
991032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991036,4,3,5,5,5,5,4,5,4,4,4,1,1,6,6,4,6,4,4,1,6,4,0,5,0,10,NA,6
991037,4,5,3,5,5,1,5,5,1,1,5,6,6,2,6,6,6,6,6,1,6,6,8,1,7,1,1,3
991038,3,3,2,1,2,1,3,3,4,1,1,4,3,3,4,2,5,1,3,6,1,1,5,5,5,5,1,4
991040,5,5,5,5,5,3,5,5,5,3,3,6,6,5,6,5,6,6,6,6,3,3,10,5,8,5,1,3
991042,4,4,2,3,2,2,3,5,2,2,2,4,3,4,4,3,6,4,4,2,4,1,0,4,2,3,3,4
991043,3,4,2,1,2,5,3,4,2,2,2,4,4,3,1,2,6,1,5,5,1,1,8,5,9,4,1,2
991046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991047,4,4,4,5,5,2,4,4,2,2,5,5,5,6,6,6,6,6,5,2,6,5,7,7,8,8,2,4
991048,5,5,3,4,5,2,5,5,5,4,4,5,5,5,5,4,6,5,5,4,5,4,6,4,6,5,1,4
991050,2,2,2,2,3,1,2,3,2,1,3,4,5,3,6,5,6,4,4,2,4,6,5,5,5,5,2,4
991051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991053,5,5,5,5,3,2,4,5,3,2,3,6,5,6,6,6,6,5,6,6,5,5,10,5,6,6,1,4
991054,5,5,1,1,1,1,2,5,5,1,1,6,6,3,5,2,6,6,6,2,3,1,5,2,5,0,1,1
991055,NA,4,2,4,3,1,4,5,4,4,3,4,4,4,6,4,6,6,4,6,5,3,6,3,6,6,1,3
991056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991058,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991060,4,5,5,5,3,2,5,5,4,4,3,6,6,5,6,4,6,3,4,5,4,4,3,8,3,8,2,6
991061,3,5,2,3,2,1,5,5,4,2,3,5,6,5,5,1,6,3,6,5,2,1,6,2,7,3,3,1
991062,5,5,5,3,2,2,4,5,5,5,5,6,6,6,6,6,6,6,5,6,6,5,10,0,9,5,1,4
991064,5,4,3,3,5,1,5,4,3,2,4,5,4,4,5,4,6,5,4,3,3,4,5,5,5,6,1,6
991065,4,5,1,3,5,2,4,5,4,2,3,4,6,6,6,3,6,5,5,5,3,2,5,5,5,5,2,6
991066,3,4,3,3,3,3,3,2,3,3,2,4,3,2,3,3,3,3,3,3,3,3,5,6,5,4,3,4
991067,5,5,5,5,5,5,5,1,5,1,1,6,6,5,6,5,6,6,6,6,3,6,5,5,9,5,1,1
991068,5,5,5,3,5,1,5,5,4,3,5,5,6,4,5,3,6,6,5,4,2,4,6,0,5,1,3,3
991069,3,3,5,4,4,3,4,4,4,4,5,5,5,5,6,6,6,6,5,4,3,4,7,7,5,5,1,NA
991073,4,3,4,4,4,3,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,0,5,5,5,3,5
991074,4,5,4,4,4,5,4,4,4,3,4,2,6,3,5,4,NA,NA,NA,5,4,4,4,4,5,3,NA,5
991076,3,3,3,3,4,1,3,4,4,4,4,4,6,5,6,6,4,6,4,5,6,6,2,2,5,10,3,6
991077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991078,5,5,1,1,1,1,5,5,4,1,4,6,6,3,4,4,6,6,6,4,1,4,5,2,8,2,1,3
991079,5,5,5,5,5,5,5,5,5,5,5,1,1,6,6,6,6,6,6,6,6,6,5,10,2,10,2,6
991080,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991081,2,4,2,4,4,1,3,4,4,3,2,5,3,5,6,3,4,5,4,4,4,4,5,3,5,5,3,4
991082,4,4,4,4,2,2,4,4,4,3,4,5,4,5,6,4,5,5,6,3,3,4,5,4,5,5,1,4
991083,5,5,5,5,5,1,5,5,5,2,4,6,6,6,6,6,6,6,6,3,1,6,10,5,7,5,1,4
991084,5,5,5,4,5,5,5,5,5,4,5,6,2,NA,NA,NA,6,6,5,5,5,4,10,0,5,8,1,3
991085,4,5,5,4,3,4,5,5,5,4,5,6,6,NA,5,4,6,6,6,5,2,1,10,0,9,1,1,1
991086,1,1,1,3,3,1,NA,1,2,3,2,4,1,6,5,5,6,5,3,1,6,5,0,10,0,10,3,7
991087,4,4,3,3,5,3,4,5,4,2,4,3,3,5,5,4,5,4,4,4,3,3,8,7,8,5,1,3
991088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991090,5,5,3,5,5,1,5,5,1,1,1,5,5,5,6,1,6,6,4,4,1,1,5,5,5,5,1,4
991091,4,5,2,4,4,3,4,5,5,3,4,5,6,6,5,4,6,6,5,5,6,3,7,4,7,4,3,3
991092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991093,4,4,5,NA,NA,NA,4,4,5,3,3,5,4,5,6,6,6,6,5,5,4,4,3,7,3,8,2,6
991094,4,5,2,4,4,1,3,5,2,3,4,5,6,5,6,2,6,6,6,5,2,2,5,5,5,4,2,4
991095,5,4,4,4,5,1,3,3,3,2,2,4,4,4,6,4,5,4,4,4,6,4,3,7,4,5,2,5
991096,5,5,5,5,5,5,5,5,5,4,4,6,6,6,6,6,6,6,6,4,4,6,9,3,6,7,1,6
991097,3,5,4,5,5,2,4,5,5,2,5,1,6,6,6,6,6,6,6,2,5,5,0,10,1,10,2,6
991098,3,2,2,5,4,1,3,5,3,2,5,2,1,4,1,6,6,2,2,2,6,6,5,5,5,10,3,4
991099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991100,1,1,1,1,1,1,1,1,1,1,1,4,4,6,6,6,6,6,5,6,6,4,5,5,5,5,1,2
991101,4,4,4,5,5,1,4,4,4,4,4,6,6,4,4,1,5,6,5,6,6,6,1,2,2,1,1,4
991102,4,5,2,2,2,2,4,5,1,4,3,6,6,4,4,4,6,6,6,4,4,3,5,1,6,4,1,4
991104,2,3,1,3,4,2,3,3,3,3,3,3,4,4,6,4,3,2,3,4,4,3,3,5,2,4,2,7
991105,5,5,2,4,4,1,4,5,2,4,4,4,4,3,6,5,6,6,5,4,4,3,0,6,4,5,2,4
991106,4,4,5,5,5,4,4,5,5,4,5,5,6,5,6,1,6,5,5,3,5,3,3,6,3,6,2,4
991107,5,5,1,1,2,1,5,5,1,1,1,6,6,1,2,1,6,4,5,4,1,4,7,0,7,4,3,1
991108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991109,5,5,2,4,5,1,5,5,5,5,5,6,6,6,6,6,6,6,6,6,4,6,5,5,5,5,3,5
991110,5,5,5,5,5,2,5,5,5,3,4,5,6,6,6,6,6,6,6,6,6,6,5,5,8,5,3,6
991112,2,3,2,2,2,1,4,4,4,2,2,4,5,3,4,3,NA,6,5,NA,4,3,5,5,5,5,NA,NA
991113,2,4,3,4,3,1,5,5,5,4,2,6,5,6,6,3,6,5,5,5,1,1,7,7,8,9,2,6
991116,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3
991117,4,4,2,2,3,1,3,4,3,2,2,4,4,4,4,3,5,4,4,4,3,3,6,4,8,2,1,3
991119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991120,4,5,4,4,5,1,5,4,4,2,4,5,4,5,6,5,6,6,5,5,4,3,8,5,8,6,1,3
991121,3,5,5,5,4,2,5,5,5,5,5,5,5,6,6,5,6,6,6,6,6,6,5,5,5,5,3,4
991122,3,4,4,3,3,4,4,4,4,3,4,3,6,4,4,5,4,4,5,4,3,4,5,5,6,6,1,3
991123,2,4,1,1,3,1,5,5,3,1,1,6,6,3,4,2,6,4,6,6,5,1,5,4,5,5,3,5
991124,1,2,2,4,5,2,3,5,5,2,2,6,6,5,6,6,NA,2,5,2,5,5,2,10,2,8,2,6
991125,3,3,2,4,4,1,4,4,4,3,3,4,4,4,5,3,4,4,4,3,2,2,5,5,5,5,1,4
991126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991127,5,5,5,5,5,5,5,5,5,5,5,4,6,6,6,6,6,6,6,6,6,6,0,5,1,10,3,7
991128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991129,5,5,1,5,3,4,5,4,5,1,1,1,1,3,2,6,6,5,6,6,6,2,7,0,8,4,3,3
991130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991131,2,5,2,3,3,1,4,5,2,2,3,3,6,5,5,3,6,4,6,4,5,2,6,1,6,5,3,5
991132,5,5,5,5,5,2,5,5,4,4,5,5,5,6,6,2,6,6,5,5,6,4,9,3,8,2,1,3
991134,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,NA,6,6,6,6,6,6,10,10,10,10,1,NA
991135,3,3,3,3,3,3,3,3,3,3,3,4,5,4,4,3,5,5,3,3,3,3,5,5,5,5,1,4
991136,3,5,3,5,3,2,3,5,4,3,3,5,1,5,6,5,6,4,6,1,5,6,5,2,5,2,3,4
991137,4,4,1,3,4,1,4,5,3,3,5,5,6,6,5,5,6,2,5,5,6,3,1,7,1,5,3,5
991450,NA,4,2,4,5,1,4,5,4,4,5,4,3,5,5,5,6,5,4,4,4,5,5,2,5,2,3,3
991452,4,5,3,4,3,2,4,5,4,3,3,5,4,3,5,4,5,5,4,1,1,2,6,5,6,7,1,2
991453,1,1,1,1,1,1,1,1,1,1,1,4,3,6,6,4,6,4,5,5,5,4,6,6,5,6,3,5
991454,4,3,3,3,3,2,4,3,4,2,2,5,3,5,3,2,6,4,4,3,4,3,5,4,5,5,3,4
991455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991457,4,4,3,3,5,3,4,5,2,2,4,6,6,6,6,6,6,6,6,2,1,1,9,1,7,1,1,3
991458,5,5,5,5,5,4,2,5,5,4,4,6,6,6,6,6,6,6,6,6,3,6,3,5,3,7,2,6
991459,4,5,3,2,2,1,4,5,3,2,2,5,6,2,2,2,6,5,6,4,4,2,10,2,10,3,1,1
991461,4,4,3,3,2,1,2,4,2,2,1,5,5,2,5,4,6,6,4,3,3,4,9,1,6,3,1,2
991462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991463,5,5,3,3,3,3,5,5,4,1,3,6,6,4,1,4,6,6,6,1,1,5,10,1,10,1,1,2
991464,5,5,3,2,5,4,5,5,2,1,5,6,6,4,4,5,6,6,5,4,2,1,10,0,10,0,1,1
991465,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991466,2,2,5,5,5,2,5,5,5,5,5,6,6,6,6,6,6,6,6,4,5,6,6,4,6,5,3,4
991467,4,5,4,5,5,1,3,4,4,4,3,4,6,6,6,2,5,6,6,5,2,3,6,5,7,5,2,3
991468,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991469,3,2,2,3,NA,3,3,3,3,1,1,6,6,5,6,6,6,6,6,6,4,3,8,5,4,5,3,4
991471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991472,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991473,4,5,2,3,5,1,3,5,4,2,5,5,6,6,6,6,6,4,6,3,1,1,10,0,10,0,1,2
991474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991475,3,4,3,3,3,3,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,NA,NA
991476,3,4,5,3,3,NA,4,4,4,3,4,4,4,4,4,4,6,5,6,4,5,4,5,5,5,5,NA,NA
991477,4,5,5,2,5,1,5,5,2,2,3,5,6,6,6,2,5,6,6,1,4,4,8,4,8,5,1,2
991478,4,4,5,5,4,2,4,5,5,4,4,4,6,6,6,6,6,6,5,6,6,5,7,4,5,7,3,4
991479,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991480,4,5,5,3,NA,1,5,5,3,3,5,5,6,5,3,6,6,5,5,2,3,4,1,7,1,8,3,6
991481,1,1,1,3,5,1,5,4,3,3,5,4,2,5,6,6,6,2,3,2,5,6,6,6,6,8,2,6
991483,4,5,2,4,4,3,3,5,5,4,5,5,5,2,6,6,6,6,5,4,3,4,8,2,5,5,3,NA
991484,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991485,3,5,3,1,3,1,3,5,3,3,5,5,6,6,4,4,6,6,6,3,5,6,0,8,0,9,2,6
991486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991488,3,3,4,4,4,1,2,3,3,1,1,4,5,3,5,5,6,6,6,6,6,4,10,10,10,10,1,4
991489,4,5,5,4,5,2,5,5,5,5,4,6,6,6,6,6,6,6,6,5,4,5,3,6,2,9,3,6
991490,5,5,5,5,5,2,5,5,5,4,4,5,5,6,6,4,6,6,5,5,5,5,NA,9,3,NA,2,5
991491,5,5,3,4,4,1,5,5,3,3,5,5,4,5,5,5,6,4,5,3,4,4,5,5,6,6,3,4
991492,4,4,4,3,4,4,3,3,4,NA,4,4,4,5,5,5,5,5,5,4,4,4,5,5,5,5,3,3
991493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991494,5,5,2,3,5,1,5,5,5,2,5,6,6,5,5,6,6,4,6,6,6,1,10,1,10,1,1,1
991495,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991497,4,4,4,4,4,1,4,4,4,4,5,6,6,5,6,6,6,6,6,2,5,5,9,4,8,3,1,2
991498,3,3,1,1,3,1,3,1,1,1,1,4,6,4,4,6,6,6,6,4,4,4,10,10,5,10,2,5
991500,5,4,5,4,5,4,5,5,NA,4,4,5,5,5,6,6,6,6,6,5,6,5,10,0,6,6,1,NA
991501,4,4,3,2,3,1,5,5,2,2,2,6,6,5,5,1,6,6,6,5,3,2,6,2,5,5,1,4
991502,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991503,4,4,4,4,4,5,5,5,5,3,4,1,1,4,5,4,4,6,6,1,4,3,8,3,5,5,3,6
991504,3,4,3,5,5,2,4,5,3,2,3,4,4,5,6,3,6,1,3,6,6,6,5,5,5,5,2,7
991506,5,5,5,5,5,4,5,5,5,4,4,4,3,5,5,5,5,5,4,5,5,4,4,8,4,8,2,6
991507,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,5,6,6,4,0,10,0,10,2,6
991623,2,1,1,3,3,1,2,5,3,2,2,1,6,3,6,4,6,6,6,1,1,3,10,0,10,0,1,4
991624,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,1,2
991625,1,1,1,4,4,1,3,3,3,2,4,5,5,5,6,5,6,6,6,6,5,5,7,5,6,5,1,NA
991626,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991627,5,5,3,4,4,2,5,5,4,3,5,5,6,5,4,6,6,5,4,4,2,6,9,3,8,4,1,2
991628,5,5,3,4,4,3,5,5,4,4,4,6,6,5,6,6,6,6,6,6,6,6,10,5,5,10,1,4
991629,4,4,4,3,3,3,4,4,4,4,5,4,5,5,5,5,5,6,5,5,2,4,8,5,5,5,1,4
991630,5,5,5,4,4,1,5,4,3,3,4,6,6,6,6,3,6,6,6,2,4,4,8,3,9,3,1,1
991631,5,5,2,5,3,2,3,4,5,2,3,6,6,4,5,2,5,6,4,4,2,4,6,3,5,6,1,6
991632,3,1,1,4,4,1,3,5,5,4,4,3,3,5,6,5,6,4,4,6,6,4,6,5,6,5,1,4
991633,2,4,2,4,5,1,3,4,2,2,4,2,5,4,5,3,5,6,4,3,3,5,5,5,4,5,1,6
991634,3,3,5,5,5,1,3,5,3,1,1,4,6,6,6,3,6,1,6,1,3,4,2,8,0,5,2,7
991636,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991637,5,5,1,3,5,1,5,5,2,1,5,5,4,5,4,6,6,6,3,4,3,6,10,0,10,5,1,3
991638,4,5,5,5,5,2,4,5,5,4,5,6,6,1,6,5,6,5,5,2,5,6,10,6,6,5,1,3
991826,4,5,4,4,5,1,4,5,4,4,5,6,5,5,5,4,6,6,5,5,2,3,5,5,5,5,3,5
991827,5,5,5,3,3,1,5,5,3,3,5,6,6,2,6,6,6,3,6,1,6,6,10,0,10,5,1,4
991828,2,3,2,3,3,1,3,3,3,2,3,4,5,3,4,4,5,4,5,3,4,3,5,5,5,5,3,4
991829,4,5,5,5,5,3,5,5,4,4,4,6,6,6,6,3,6,6,6,6,2,3,6,4,7,4,1,3
991830,3,3,4,5,5,4,5,5,5,5,5,6,6,6,6,4,6,6,6,6,3,3,10,0,10,1,1,3
991831,4,4,2,3,4,1,4,4,4,2,4,5,4,5,4,3,6,6,5,5,4,2,8,7,8,7,3,3
991833,3,5,3,4,4,2,3,4,4,2,2,4,5,6,5,1,6,4,4,4,2,1,9,1,9,3,1,1
991834,3,4,1,2,5,2,2,2,2,4,4,4,4,4,4,4,5,5,5,4,4,4,10,10,10,10,1,2
991835,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991836,2,3,2,4,4,1,4,NA,1,1,5,6,5,4,6,3,6,6,5,1,2,2,4,0,5,2,1,2
991838,5,5,4,5,5,3,5,5,5,3,5,6,6,6,6,6,6,6,6,1,1,1,5,10,5,5,2,5
991839,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991840,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991841,3,4,3,NA,NA,NA,3,5,3,2,4,5,5,5,5,5,6,5,5,5,4,3,4,7,3,8,2,5
991842,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991843,5,5,1,3,3,4,5,5,3,2,2,5,6,1,5,4,6,4,6,1,2,1,6,0,10,0,1,1
991844,4,4,4,NA,NA,NA,3,4,4,2,4,5,5,5,5,5,NA,NA,NA,4,6,4,8,8,7,8,2,4
991845,4,4,4,3,4,2,3,4,4,3,3,4,5,4,4,3,4,4,4,5,4,3,5,5,5,4,3,3
991846,3,3,3,4,3,2,5,5,3,2,2,6,4,6,6,1,6,6,6,3,4,4,6,7,2,6,NA,4
991847,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991848,3,2,1,1,5,1,4,2,2,4,4,5,4,5,4,3,6,4,5,3,2,3,3,6,3,8,3,5
991849,5,5,1,1,2,1,5,5,3,1,3,6,6,3,1,1,6,6,6,4,1,1,4,0,10,0,1,1
993273,5,5,4,5,5,2,5,5,5,2,4,4,5,4,5,4,6,4,5,4,2,3,5,5,5,5,1,3
993275,3,3,3,3,3,3,3,3,3,3,3,4,2,6,6,1,3,6,6,3,5,6,5,5,5,5,NA,5
993276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993277,4,5,2,5,5,2,4,5,2,4,2,4,6,5,6,4,6,2,5,1,3,4,1,7,1,7,3,5
993278,5,5,5,5,5,2,5,5,5,5,5,6,6,3,5,6,6,6,6,6,6,5,10,5,5,4,1,1
993279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993280,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993282,5,5,5,5,5,5,5,5,5,3,5,4,5,5,6,6,6,5,5,4,4,5,8,2,7,6,1,3
993283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993285,5,5,3,5,5,2,5,5,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,3,NA
993286,4,5,2,4,5,3,4,5,3,3,5,5,6,5,5,6,6,6,6,3,4,4,8,0,8,2,1,4
993287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993289,5,5,4,4,5,1,4,5,4,1,3,6,6,1,6,6,6,6,6,5,6,4,10,5,9,5,1,3
993290,2,3,2,5,5,1,2,3,3,2,3,3,4,4,6,6,6,5,5,2,5,6,2,6,0,7,2,7
993291,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993292,,,,,,,,,,,,,,,,,,,,,,,,,,,,
